-9999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
185,0.35467,0.18633,0.18184,0.13147,0.14702,0.20198,0.21256,0.13181,0.2268,0.15128,0.12901,0.23848,0,0,0,0
186,0.32896,0.27802,0.19403,0.17925,0.25984,0.13768,0.26761,0.21397,0.16694,0.14816,0.17932,0.30261,0,0,0,0
187,3.1165,3.0968,2.4981,2.1484,2.8297,2.5844,2.7643,2.8622,2.7388,2.5579,2.9878,3.0834,0,0,0,0
188,3.9089,4.2163,2.8969,3.6696,3.9024,3.9326,3.63,3.9549,4.1059,3.6608,4.0956,4.3334,0,0,0,0
189,1.5265,1.219,0.76836,0.79362,1.044,0.90735,1.184,1.0579,0.99899,0.88477,1.0962,1.2221,0,0,0,0
190,1.992,1.8861,0.91129,1.8538,1.1959,1.598,1.0099,1.4483,1.391,1.6625,1.823,1.4486,0,0,0,0
191,1.2777,1.1721,0.92898,0.98533,1.1997,0.95839,1.2347,1.1112,1.0787,1.0302,1.3722,1.2049,0,0,0,0
192,3.4719,2.7519,2.8945,2.8877,2.9071,2.997,3.1514,3.0107,2.723,2.6149,3.1191,3.0062,0,0,0,0
193,3.6777,3.1103,3.3249,3.1334,3.3752,3.3703,3.7323,3.3458,3.3627,3.4548,3.1914,3.086,0,0,0,0
194,0.31641,0.15824,0.12416,0.1122,0.14699,0.10212,0.26812,0.11345,0.14378,0.11379,0.078184,0.13519,0,0,0,0
195,4.2302,4.43,3.6817,3.3921,4.3221,4.1805,4.2063,4.357,4.0592,3.8741,4.3879,4.5708,0,0,0,0
196,5.1016,5.2499,3.9469,4.5112,5.1843,5.5014,5.2237,5.289,5.1824,4.8159,5.1492,5.1122,0,0,0,0
197,1.0035,0.90761,0.50828,0.58124,0.73786,0.48975,0.85077,0.65028,0.55971,0.58623,0.79051,1.0231,0,0,0,0
198,1.8274,1.8065,0.94064,1.6503,1.253,1.4867,0.91877,1.2821,1.363,1.5985,1.6949,1.4414,0,0,0,0
